;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
145;Mikal BridgesBKN/PHX;SF;83;35.7;20.1;7.1;15.3;46.8;2.0;5.3;38.2;3.8;4.3;89.5;4.4;3.3;1.1;0.7;1.5;2;0
146;CJ McCollumNO;SG;75;35.3;20.9;7.8;17.9;43.7;2.8;7.2;38.9;2.4;3.2;76.9;4.4;5.7;0.9;0.5;2.4;6;0
147;Jalen McDanielsCHA/PHI;PF;80;23.9;9.4;3.5;7.7;45.5;1.0;2.9;33.2;1.5;1.7;84.1;4.3;1.6;1.0;0.4;1.2;3;0
148;John KoncharMEM;SG;72;20.8;5.1;1.9;4.4;43.1;0.8;2.5;33.9;0.4;0.5;77.8;4.3;1.4;1.1;0.3;0.5;2;0
-;Sandro MamukelashviliSA/MIL;PF;43;15.3;6.1;2.3;5.3;42.2;0.7;2.3;30.3;0.9;1.3;68.4;4.3;1.4;0.3;0.3;0.8;2;0
-;Gordon HaywardCHA;SF;50;31.5;14.7;5.5;11.6;47.5;1.0;3.2;32.5;2.6;3.2;81.1;4.3;4.1;0.8;0.2;2.0;2;0
-;Luka SamanicUTAH;F;7;23.0;9.9;3.7;8.1;45.6;1.1;4.4;25.8;1.3;1.9;69.2;4.3;2.1;0.9;0.3;1.4;0;0
-;Cody ZellerMIA;C;15;14.5;6.5;2.5;3.9;62.7;0.0;0.1;0.0;1.6;2.3;68.6;4.3;0.7;0.2;0.3;0.9;0;0
153;Bismack BiyomboPHX;C;61;14.3;4.3;2.0;3.4;57.8;0.0;0.0;0.0;0.4;1.1;35.7;4.3;0.9;0.3;1.4;0.8;3;0
154;Chris PaulPHX;PG;59;32.0;13.9;5.0;11.3;44.0;1.7;4.4;37.5;2.3;2.7;83.1;4.3;8.9;1.5;0.4;1.9;17;0
155;Donovan MitchellCLE;SG;68;35.8;28.3;10.0;20.6;48.4;3.6;9.3;38.6;4.7;5.4;86.7;4.3;4.4;1.5;0.4;2.6;5;0
-;Khris MiddletonMIL;SF;33;24.3;15.1;5.4;12.3;43.6;1.5;4.9;31.5;2.8;3.1;90.2;4.2;4.9;0.7;0.2;2.2;4;0
157;De'Andre HunterATL;SF;67;31.7;15.4;5.7;12.3;46.1;1.5;4.3;35.0;2.6;3.1;82.6;4.2;1.4;0.5;0.3;1.2;1;0
158;Wenyen GabrielLAL;F;68;15.1;5.5;2.3;3.8;59.6;0.1;0.5;27.8;0.8;1.2;61.9;4.2;0.5;0.4;0.5;0.7;0;0
159;De'Aaron FoxSAC;PG;73;33.4;25.0;9.3;18.2;51.2;1.6;5.0;32.4;4.7;6.0;78.0;4.2;6.1;1.1;0.3;2.5;11;0
-;Jeremiah Robinson-EarlOKC;PF;43;18.9;6.8;2.6;5.8;44.4;0.9;2.6;33.3;0.8;1.0;83.3;4.2;1.0;0.6;0.3;0.4;1;0
